male,year,studylike,Grade,univ,dream,club,studytime,sleep,free,Cram,sptime
0,2,3,4,0,1,1,39,411,309,0,274
0,2,3,3,0,2,0,9,497,223,0,189
0,2,3,1,0,0,0,0,446,711,0,471
1,3,3,5,1,1,6,60,360,309,0,394
0,2,3,1,0,2,6,99,411,154,0,77
0,2,3,4,0,2,1,124,334,197,1,214
0,3,4,2,1,1,0,184,454,193,2,116
0,3,4,4,1,2,0,77,429,360,0,214
0,3,5,4,1,1,0,30,291,351,0,257
0,3,3,4,1,2,0,313,394,137,6,120
1,2,5,2,0,2,0,0,394,840,1,1440
0,3,4,4,0,2,0,0,437,214,0,214
1,2,1,1,0,2,7,75,435,377,0,291
1,3,2,4,1,2,6,386,343,154,6,99
0,2,5,3,1,2,7,0,360,73,0,39
0,2,4,5,0,0,0,120,414,250,2,214
1,2,5,4,0,2,7,0,356,274,0,137
1,2,1,1,1,2,5,116,360,94,7,197
1,3,3,3,1,1,0,330,416,463,7,116
0,3,2,2,1,2,0,386,476,39,7,30
0,3,5,3,0,2,0,0,420,214,0,197
1,3,5,5,0,0,0,0,360,711,0,866
1,3,1,4,0,0,4,0,360,1440,0,0
1,2,3,4,1,1,6,30,420,317,0,274
1,2,3,1,0,0,0,0,377,703,0,514
1,3,1,2,1,2,0,257,360,60,0,39
1,2,4,4,0,1,5,0,429,471,0,274
0,2,3,3,1,1,2,197,423,506,5,274
0,3,2,3,1,2,0,137,471,351,0,257
0,3,3,2,1,2,0,137,334,214,0,137
0,2,3,3,1,1,5,77,497,171,0,137
0,3,4,3,1,0,0,369,377,159,1,146
0,2,5,1,0,2,7,0,463,583,0,480
0,2,5,5,1,2,5,77,360,154,1,197
1,3,5,5,0,2,0,0,360,549,0,429
0,3,4,4,1,1,0,99,437,377,0,377
0,3,4,3,1,1,7,39,326,351,1,317
1,3,1,5,1,2,0,214,471,214,4,120
0,3,3,3,1,2,0,130,399,154,0,120
1,2,5,4,1,2,6,0,360,180,0,300
0,2,3,3,0,1,6,43,377,249,0,351
0,2,3,3,1,1,2,60,454,249,2,77
1,2,5,5,1,0,6,56,347,240,0,489
1,2,3,3,0,2,1,10,351,1440,0,274
1,2,2,3,1,2,6,39,120,343,0,197
0,2,5,4,1,0,0,0,347,107,0,309
0,3,3,3,0,1,0,39,411,549,0,334
1,2,4,3,1,1,5,0,634,300,0,240
0,2,4,4,1,1,1,77,411,771,0,154
1,2,3,3,1,2,7,77,514,287,0,317
1,2,3,3,1,1,0,60,394,1140,0,300
0,2,3,3,0,0,0,39,506,420,0,231
1,2,5,3,0,0,1,30,360,231,0,360
0,2,3,3,0,2,1,154,416,94,0,137
1,3,1,1,1,2,0,386,171,4,7,0
1,2,5,5,1,0,5,99,437,343,0,471
